code,rose(3y),rank(3y),rank_r(3y),name,rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),类型
002669,61.17,978.0,0.1956,华商万众创新混合AC,61.17,978.0,0.1956,61.17,978,0.1956,61.17,978,0.1956,61.17,978,0.1956,混合型
002692,89.28,170.0,0.034,富国创新科技混合AC,89.28,170.0,0.034,89.28,170,0.034,89.28,170,0.034,89.28,170,0.034,混合型
002770,105.22,52.0,0.0104,安信新回报混合AC,105.22,52.0,0.0104,105.22,52,0.0104,105.22,52,0.0104,105.22,52,0.0104,混合型
002771,104.8,54.0,0.0108,安信新回报混合CC,104.8,54.0,0.0108,104.8,54,0.0108,104.8,54,0.0108,104.8,54,0.0108,混合型
002772,63.3,842.0,0.1684,光大产业新动力混合AC,63.3,842.0,0.1684,63.3,842,0.1684,63.3,842,0.1684,63.3,842,0.1684,混合型
002810,75.81,394.0,0.0788,金信转型创新成长混合发起式AC,75.81,394.0,0.0788,75.81,394,0.0788,75.81,394,0.0788,75.81,394,0.0788,混合型
002833,71.23,528.0,0.1056,华夏新锦绣混合AC,71.23,528.0,0.1056,71.23,528,0.1056,71.23,528,0.1056,71.23,528,0.1056,混合型
002834,71.06,535.0,0.107,华夏新锦绣混合CC,71.06,535.0,0.107,71.06,535,0.107,71.06,535,0.107,71.06,535,0.107,混合型
002860,62.52,888.0,0.1776,前海开源沪港深新机遇混合AC,62.52,888.0,0.1776,62.52,888,0.1776,62.52,888,0.1776,62.52,888,0.1776,混合型
002861,71.39,520.0,0.104,工银智能制造股票AC,71.39,520.0,0.104,71.39,520,0.104,71.39,520,0.104,71.39,520,0.104,股票型
002863,62.29,908.0,0.1816,金信深圳成长混合AC,62.29,908.0,0.1816,62.29,908,0.1816,62.29,908,0.1816,62.29,908,0.1816,混合型
002900,58.03,1173.0,0.2346,南方中证500信息技术联接AC,58.03,1173.0,0.2346,58.03,1173,0.2346,58.03,1173,0.2346,58.03,1173,0.2346,未知
003032,58.79,1120.0,0.224,平安医疗健康混合AC,58.79,1120.0,0.224,58.79,1120,0.224,58.79,1120,0.224,58.79,1120,0.224,混合型
003147,59.41,1078.0,0.2156,大成动态量化配置策略混合AC,59.41,1078.0,0.2156,59.41,1078,0.2156,59.41,1078,0.2156,59.41,1078,0.2156,混合型
003304,90.79,153.0,0.0306,前海开源沪港深核心资源混合AC,90.79,153.0,0.0306,90.79,153,0.0306,90.79,153,0.0306,90.79,153,0.0306,混合型
003305,90.63,154.0,0.0308,前海开源沪港深核心资源混合CC,90.63,154.0,0.0308,90.63,154,0.0308,90.63,154,0.0308,90.63,154,0.0308,混合型
003373,57.29,1240.0,0.248,大成景禄灵活配置混合AC,57.29,1240.0,0.248,57.29,1240,0.248,57.29,1240,0.248,57.29,1240,0.248,混合型
003567,68.31,630.0,0.126,华夏行业景气混合AC,68.31,630.0,0.126,68.31,630,0.126,68.31,630,0.126,68.31,630,0.126,混合型
003580,59.3,1085.0,0.217,泰康沪港深价值优选混合C,59.3,1085.0,0.217,59.3,1085,0.217,59.3,1085,0.217,59.3,1085,0.217,混合型
003593,77.34,360.0,0.072,国泰景气行业灵活配置混合C,77.34,360.0,0.072,77.34,360,0.072,77.34,360,0.072,77.34,360,0.072,混合型
003598,98.41,90.0,0.018,华商润丰灵活配置混合AC,98.41,90.0,0.018,98.41,90,0.018,98.41,90,0.018,98.41,90,0.018,混合型
003624,57.9,1190.0,0.238,创金合信资源股票发起式AC,57.9,1190.0,0.238,57.9,1190,0.238,57.9,1190,0.238,57.9,1190,0.238,股票型
003626,73.31,465.0,0.093,平安鑫利混合AC,73.31,465.0,0.093,73.31,465,0.093,73.31,465,0.093,73.31,465,0.093,混合型
003670,62.83,870.0,0.174,国联物联网主题AC,62.83,870.0,0.174,62.83,870,0.174,62.83,870,0.174,62.83,870,0.174,未知
003835,73.23,468.0,0.0936,鹏华沪深港新兴成长混合AC,73.23,468.0,0.0936,73.23,468,0.0936,73.23,468,0.0936,73.23,468,0.0936,混合型
003857,73.7,456.0,0.0912,前海开源周期优选混合AC,73.7,456.0,0.0912,73.7,456,0.0912,73.7,456,0.0912,73.7,456,0.0912,混合型
003858,73.53,459.0,0.0918,前海开源周期优选混合CC,73.53,459.0,0.0918,73.53,459,0.0918,73.53,459,0.0918,73.53,459,0.0918,混合型
003984,69.7,580.0,0.116,嘉实新能源新材料股票AC,69.7,580.0,0.116,69.7,580,0.116,69.7,580,0.116,69.7,580,0.116,股票型
003985,68.86,611.0,0.1222,嘉实新能源新材料股票CC,68.86,611.0,0.1222,68.86,611,0.1222,68.86,611,0.1222,68.86,611,0.1222,股票型
003993,71.5,518.0,0.1036,前海开源沪港深核心驱动混合C,71.5,518.0,0.1036,71.5,518,0.1036,71.5,518,0.1036,71.5,518,0.1036,混合型
004128,58.01,1177.0,0.2354,前海联合泳隆混合AC,58.01,1177.0,0.2354,58.01,1177,0.2354,58.01,1177,0.2354,58.01,1177,0.2354,混合型
004206,97.36,100.0,0.02,华商元亨混合AC,97.36,100.0,0.02,97.36,100,0.02,97.36,100,0.02,97.36,100,0.02,混合型
004223,67.64,649.0,0.1298,金信多策略精选混合AC,67.64,649.0,0.1298,67.64,649,0.1298,67.64,649,0.1298,67.64,649,0.1298,混合型
